stop_id,departure_time,route_id
3049,06:32:00,607
3050,06:32:00,607
3052,06:33:00,607
3054,06:34:00,607
3047,06:35:00,607
3014,15:49:00,607
3016,15:50:00,607
3017,15:51:00,607
3018,15:52:00,607
3019,15:54:00,607
3079,15:55:00,607
3040,15:57:00,607
3073,15:57:00,607
3074,15:58:00,607
3037,16:00:00,607
3036,16:00:00,607
3014,18:39:00,607
3016,18:40:00,607
3017,18:41:00,607
3018,18:42:00,607
3019,18:44:00,607
3079,18:45:00,607
3040,18:47:00,607
3073,18:47:00,607
3074,18:48:00,607
3037,18:50:00,607
3036,18:50:00,607
3014,14:14:00,613
3094,14:15:00,613
3022,14:16:00,613
3037,14:17:00,613
3036,14:17:00,613
3014,07:27:00,610
3094,07:28:00,610
3029,07:29:00,610
3027,07:30:00,610
3014,08:27:00,610
3094,08:28:00,610
3029,08:29:00,610
3027,08:30:00,610
3014,12:23:00,610
3094,12:24:00,610
3029,12:25:00,610
3027,12:26:00,610
3014,18:23:00,610
3094,18:24:00,610
3029,18:25:00,610
3027,18:26:00,610
3014,12:03:00,612
3094,12:04:00,612
3030,12:08:00,612
3031,12:09:00,612
3032,12:10:00,612
3033,12:11:00,612
3034,12:12:00,612
3035,12:13:00,612
3014,12:16:00,612
3014,12:47:00,612
3094,12:48:00,612
3030,12:52:00,612
3031,12:53:00,612
3032,12:54:00,612
3033,12:55:00,612
3034,12:56:00,612
3035,12:57:00,612
3014,13:00:00,612
3014,18:03:00,612
3094,18:04:00,612
3030,18:08:00,612
3031,18:09:00,612
3032,18:10:00,612
3033,18:11:00,612
3034,18:12:00,612
3035,18:13:00,612
3014,18:16:00,612
3014,07:38:00,607
3016,07:39:00,607
3017,07:40:00,607
3018,07:41:00,607
3019,07:43:00,607
3079,07:44:00,607
3040,07:46:00,607
3073,07:46:00,607
3074,07:47:00,607
3037,07:49:00,607
3036,07:49:00,607
3039,07:49:00,607
3044,07:50:00,607
3085,07:50:00,607
3080,07:51:00,607
3045,07:52:00,607
3049,07:53:00,607
3050,07:53:00,607
3052,07:54:00,607
3054,07:55:00,607
3047,07:56:00,607
3014,08:38:00,607
3016,08:39:00,607
3017,08:40:00,607
3018,08:41:00,607
3019,08:43:00,607
3079,08:44:00,607
3040,08:46:00,607
3073,08:46:00,607
3074,08:47:00,607
3037,08:49:00,607
3036,08:49:00,607
3039,08:49:00,607
3044,08:50:00,607
3085,08:50:00,607
3080,08:51:00,607
3045,08:52:00,607
3049,08:53:00,607
3050,08:53:00,607
3052,08:54:00,607
3054,08:55:00,607
3047,08:56:00,607
3014,11:09:00,607
3016,11:10:00,607
3017,11:11:00,607
3018,11:12:00,607
3019,11:14:00,607
3079,11:15:00,607
3040,11:17:00,607
3073,11:17:00,607
3074,11:18:00,607
3037,11:20:00,607
3036,11:20:00,607
3039,11:20:00,607
3044,11:21:00,607
3085,11:21:00,607
3080,11:22:00,607
3045,11:23:00,607
3049,11:24:00,607
3050,11:24:00,607
3052,11:25:00,607
3054,11:26:00,607
3047,11:27:00,607
3014,13:09:00,607
3016,13:10:00,607
3017,13:11:00,607
3018,13:12:00,607
3019,13:14:00,607
3079,13:15:00,607
3040,13:17:00,607
3073,13:17:00,607
3074,13:18:00,607
3037,13:20:00,607
3036,13:20:00,607
3039,13:20:00,607
3044,13:21:00,607
3085,13:21:00,607
3080,13:22:00,607
3045,13:23:00,607
3049,13:24:00,607
3050,13:24:00,607
3052,13:25:00,607
3054,13:26:00,607
3047,13:27:00,607
3014,14:09:00,607
3016,14:10:00,607
3017,14:11:00,607
3018,14:12:00,607
3019,14:14:00,607
3079,14:15:00,607
3040,14:17:00,607
3073,14:17:00,607
3074,14:18:00,607
3037,14:20:00,607
3036,14:20:00,607
3039,14:20:00,607
3044,14:21:00,607
3085,14:21:00,607
3080,14:22:00,607
3045,14:23:00,607
3049,14:24:00,607
3050,14:24:00,607
3052,14:25:00,607
3054,14:26:00,607
3047,14:27:00,607
3014,15:09:00,607
3016,15:10:00,607
3017,15:11:00,607
3018,15:12:00,607
3019,15:14:00,607
3079,15:15:00,607
3040,15:17:00,607
3073,15:17:00,607
3074,15:18:00,607
3037,15:20:00,607
3036,15:20:00,607
3039,15:20:00,607
3044,15:21:00,607
3085,15:21:00,607
3080,15:22:00,607
3045,15:23:00,607
3049,15:24:00,607
3050,15:24:00,607
3052,15:25:00,607
3054,15:26:00,607
3047,15:27:00,607
3014,16:09:00,607
3016,16:10:00,607
3017,16:11:00,607
3018,16:12:00,607
3019,16:14:00,607
3079,16:15:00,607
3040,16:17:00,607
3073,16:17:00,607
3074,16:18:00,607
3037,16:20:00,607
3036,16:20:00,607
3039,16:20:00,607
3044,16:21:00,607
3085,16:21:00,607
3080,16:22:00,607
3045,16:23:00,607
3049,16:24:00,607
3050,16:24:00,607
3052,16:25:00,607
3054,16:26:00,607
3047,16:27:00,607
3014,17:09:00,607
3016,17:10:00,607
3017,17:11:00,607
3018,17:12:00,607
3019,17:14:00,607
3079,17:15:00,607
3040,17:17:00,607
3073,17:17:00,607
3074,17:18:00,607
3037,17:20:00,607
3036,17:20:00,607
3039,17:20:00,607
3044,17:21:00,607
3085,17:21:00,607
3080,17:22:00,607
3045,17:23:00,607
3049,17:24:00,607
3050,17:24:00,607
3052,17:25:00,607
3054,17:26:00,607
3047,17:27:00,607
3040,14:17:00,613
3081,14:20:00,613
3070,14:21:00,613
3068,14:22:00,613
3066,14:23:00,613
3064,14:24:00,613
3086,14:25:00,613
3061,14:25:00,613
3059,14:27:00,613
3057,14:27:00,613
3054,14:27:00,613
3047,14:28:00,613
3047,08:03:00,607
3053,08:04:00,607
3056,08:05:00,607
3058,08:06:00,607
3060,08:08:00,607
3062,08:08:00,607
3063,08:09:00,607
3065,08:10:00,607
3067,08:11:00,607
3069,08:12:00,607
3071,08:12:00,607
3073,08:14:00,607
3074,08:15:00,607
3037,08:17:00,607
3036,08:17:00,607
3077,08:18:00,607
3078,08:19:00,607
3020,08:20:00,607
3023,08:22:00,607
3024,08:24:00,607
3014,08:25:00,607
3047,09:03:00,607
3053,09:04:00,607
3056,09:05:00,607
3058,09:06:00,607
3060,09:08:00,607
3062,09:08:00,607
3063,09:09:00,607
3065,09:10:00,607
3067,09:11:00,607
3069,09:12:00,607
3071,09:12:00,607
3073,09:14:00,607
3074,09:15:00,607
3037,09:17:00,607
3036,09:17:00,607
3077,09:18:00,607
3078,09:19:00,607
3020,09:20:00,607
3023,09:22:00,607
3024,09:24:00,607
3014,09:25:00,607
3053,11:28:00,607
3056,11:29:00,607
3058,11:30:00,607
3060,11:32:00,607
3062,11:32:00,607
3063,11:33:00,607
3065,11:34:00,607
3067,11:35:00,607
3069,11:36:00,607
3071,11:36:00,607
3073,11:38:00,607
3074,11:39:00,607
3037,11:41:00,607
3036,11:41:00,607
3077,11:42:00,607
3078,11:43:00,607
3020,11:44:00,607
3023,11:46:00,607
3024,11:48:00,607
3014,11:49:00,607
3053,13:28:00,607
3056,13:29:00,607
3058,13:30:00,607
3060,13:32:00,607
3062,13:32:00,607
3063,13:33:00,607
3065,13:34:00,607
3067,13:35:00,607
3069,13:36:00,607
3071,13:36:00,607
3073,13:38:00,607
3074,13:39:00,607
3037,13:41:00,607
3036,13:41:00,607
3077,13:42:00,607
3078,13:43:00,607
3020,13:44:00,607
3023,13:46:00,607
3024,13:48:00,607
3014,13:49:00,607
3053,14:28:00,607
3056,14:29:00,607
3058,14:30:00,607
3060,14:32:00,607
3062,14:32:00,607
3063,14:33:00,607
3065,14:34:00,607
3067,14:35:00,607
3069,14:36:00,607
3071,14:36:00,607
3073,14:38:00,607
3074,14:39:00,607
3037,14:41:00,607
3036,14:41:00,607
3077,14:42:00,607
3078,14:43:00,607
3020,14:44:00,607
3023,14:46:00,607
3024,14:48:00,607
3014,14:49:00,607
3053,15:28:00,607
3056,15:29:00,607
3058,15:30:00,607
3060,15:32:00,607
3062,15:32:00,607
3063,15:33:00,607
3065,15:34:00,607
3067,15:35:00,607
3069,15:36:00,607
3071,15:36:00,607
3073,15:38:00,607
3074,15:39:00,607
3037,15:41:00,607
3036,15:41:00,607
3077,15:42:00,607
3078,15:43:00,607
3020,15:44:00,607
3023,15:46:00,607
3024,15:48:00,607
3053,16:28:00,607
3056,16:29:00,607
3058,16:30:00,607
3060,16:32:00,607
3062,16:32:00,607
3063,16:33:00,607
3065,16:34:00,607
3067,16:35:00,607
3069,16:36:00,607
3071,16:36:00,607
3073,16:38:00,607
3074,16:39:00,607
3037,16:41:00,607
3036,16:41:00,607
3077,16:42:00,607
3078,16:43:00,607
3020,16:44:00,607
3023,16:46:00,607
3024,16:48:00,607
3014,16:49:00,607
3053,17:28:00,607
3056,17:29:00,607
3058,17:30:00,607
3060,17:32:00,607
3062,17:32:00,607
3063,17:33:00,607
3065,17:34:00,607
3067,17:35:00,607
3069,17:36:00,607
3071,17:36:00,607
3073,17:38:00,607
3074,17:39:00,607
3037,17:41:00,607
3036,17:41:00,607
3077,17:42:00,607
3078,17:43:00,607
3020,17:44:00,607
3023,17:46:00,607
3024,17:48:00,607
3014,17:49:00,607
3077,16:01:00,607
3078,16:02:00,607
3020,16:03:00,607
3023,16:05:00,607
3024,16:07:00,607
3014,16:08:00,607
3077,18:51:00,607
3078,18:52:00,607
3020,18:53:00,607
3023,18:55:00,607
3024,18:57:00,607
3014,18:58:00,607
3047,06:39:00,613
3053,06:40:00,613
3051,06:41:00,613
3087,06:41:00,613
3048,06:42:00,613
3055,06:42:00,613
3084,06:44:00,613
3082,06:44:00,613
3046,06:44:00,613
3043,06:45:00,613
3038,06:46:00,613
3083,06:47:00,613
3040,06:48:00,613
3073,06:48:00,613
3074,06:49:00,613
